date,state,new_cases,new_deaths,new_vaccinations,tests_performed,positive_rate,hospitalized_patients,icu_patients,mobility_index,temperature,humidity,population_density
2020-01-01,Karnataka,0,0,11265,100,0.0,0,0,90.63,31.2,78.9,1426
2020-01-02,Karnataka,170,0,7433,2720,0.0625,6,1,51.3,29.5,63.8,1426
2020-01-03,Karnataka,261,1,5189,7830,0.0333,9,3,56.77,39.6,65.7,1426
2020-01-04,Karnataka,0,0,35740,100,0.0,0,0,95.95,30.4,61.2,1426
2020-01-05,Karnataka,252,3,49974,5544,0.0455,9,2,42.76,34.6,63.4,1426
2020-01-06,Karnataka,0,0,45757,100,0.0,0,0,61.48,26.7,91.0,1426
2020-01-07,Karnataka,0,0,29253,100,0.0,0,0,48.99,36.2,59.6,1426
2020-01-08,Karnataka,378,3,44976,10206,0.037,16,2,31.09,27.3,61.7,1426
2020-01-09,Karnataka,213,3,8561,4047,0.0526,10,1,90.42,31.7,58.2,1426
2020-01-10,Karnataka,0,0,16837,100,0.0,0,0,74.63,37.5,66.0,1426
2020-01-11,Karnataka,133,2,11910,4921,0.027,5,0,79.75,20.4,64.2,1426
2020-01-12,Karnataka,0,0,46523,100,0.0,0,0,39.75,31.3,69.7,1426
2020-01-13,Karnataka,514,9,47557,12336,0.0417,31,9,86.26,22.1,89.1,1426
2020-01-14,Karnataka,276,3,20707,10212,0.027,13,5,49.05,32.2,40.0,1426
2020-01-15,Karnataka,0,0,8748,100,0.0,0,0,47.09,21.7,52.0,1426
2020-01-16,Karnataka,0,0,44353,100,0.0,0,0,64.81,24.6,55.7,1426
2020-01-17,Karnataka,64,0,5854,2304,0.0278,2,1,46.77,21.2,66.9,1426
2020-01-18,Karnataka,0,0,9931,100,0.0,0,0,46.95,35.7,65.9,1426
2020-01-19,Karnataka,23,0,30184,690,0.0333,0,0,78.71,36.9,57.9,1426
2020-01-20,Karnataka,103,0,35206,1751,0.0588,4,1,42.21,33.2,61.3,1426
2020-01-21,Karnataka,0,0,35306,100,0.0,0,0,98.75,29.4,54.3,1426
2020-01-22,Karnataka,0,0,25932,100,0.0,0,0,53.73,25.7,79.9,1426
2020-01-23,Karnataka,229,1,10539,5038,0.0455,17,3,30.64,20.2,76.5,1426
2020-01-24,Karnataka,411,2,16969,11508,0.0357,26,6,45.7,33.7,53.0,1426
2020-01-25,Karnataka,395,5,38986,8295,0.0476,24,5,36.56,26.1,54.6,1426
2020-01-26,Karnataka,0,0,8436,100,0.0,0,0,60.41,25.7,75.5,1426
2020-01-27,Karnataka,307,2,42410,9210,0.0333,21,1,99.62,28.3,55.4,1426
2020-01-28,Karnataka,173,3,38828,3979,0.0435,13,1,97.67,39.2,86.9,1426
2020-01-29,Karnataka,0,0,31641,100,0.0,0,0,78.72,30.5,45.3,1426
2020-01-30,Karnataka,0,0,23070,100,0.0,0,0,91.42,34.3,78.3,1426
2020-01-31,Karnataka,0,0,43754,100,0.0,0,0,35.71,18.1,74.5,1426
2020-02-01,Karnataka,480,3,11655,10560,0.0455,23,2,92.06,18.6,71.8,1426
2020-02-02,Karnataka,635,6,36289,22860,0.0278,20,3,87.58,25.9,47.0,1426
2020-02-03,Karnataka,0,0,8051,100,0.0,0,0,88.94,22.3,62.6,1426
2020-02-04,Karnataka,0,0,22019,100,0.0,0,0,57.92,27.5,80.9,1426
2020-02-05,Karnataka,205,1,10949,7175,0.0286,14,3,58.63,21.8,48.6,1426
2020-02-06,Karnataka,177,2,8343,3894,0.0455,9,2,60.5,34.1,42.6,1426
2020-02-07,Karnataka,0,0,18284,100,0.0,0,0,36.43,20.1,57.1,1426
2020-02-08,Karnataka,0,0,31646,100,0.0,0,0,92.07,23.7,40.8,1426
2020-02-09,Karnataka,422,8,46975,6330,0.0667,26,3,34.94,32.1,41.5,1426
2020-02-10,Karnataka,291,3,16938,9312,0.0312,18,3,68.19,38.7,61.2,1426
2020-02-11,Karnataka,139,2,22450,3336,0.0417,5,0,37.05,18.4,45.2,1426
2020-02-12,Karnataka,0,0,14817,100,0.0,0,0,64.72,33.2,59.2,1426
2020-02-13,Karnataka,172,3,45355,6536,0.0263,8,3,68.36,27.3,71.3,1426
2020-02-14,Karnataka,598,4,39911,18538,0.0323,28,11,90.09,27.4,81.3,1426
2020-02-15,Karnataka,278,4,49912,6394,0.0435,15,4,52.4,37.7,61.4,1426
2020-02-16,Karnataka,43,0,10486,1462,0.0294,1,0,72.17,30.2,51.7,1426
2020-02-17,Karnataka,0,0,32192,100,0.0,0,0,98.2,39.9,43.1,1426
2020-02-18,Karnataka,232,3,11731,6728,0.0345,14,4,90.68,36.4,63.4,1426
2020-02-19,Karnataka,643,5,32569,14789,0.0435,47,4,65.93,23.1,72.0,1426
2020-02-20,Karnataka,233,3,40909,4194,0.0556,15,2,56.46,33.5,53.7,1426
2020-02-21,Karnataka,96,0,25652,1632,0.0588,2,1,33.94,20.6,46.5,1426
2020-02-22,Karnataka,540,7,38982,21060,0.0256,29,3,66.99,27.6,84.1,1426
2020-02-23,Karnataka,396,7,39620,10692,0.037,18,2,94.73,38.2,53.9,1426
