date,state,disease_name,new_cases,new_deaths,new_vaccinations,tests_performed,positive_rate,hospitalized_patients,icu_patients,mobility_index,temperature,humidity,population_density,data_confidence,r0_estimate,incubation_days,infectious_days
2026-03-01,Kerala,Disease_X_NRP2026,2,0,0,203,0.0099,0,0,63.81,28.7,76.6,316,confirmed,0.87,4,6
2026-03-02,Kerala,Disease_X_NRP2026,0,0,0,223,0.0,0,0,64.47,29.1,76.1,316,probable,0.87,4,6
2026-03-03,Kerala,Disease_X_NRP2026,0,0,0,173,0.0,0,0,64.54,29.2,81.8,316,probable,0.87,4,6
2026-03-04,Kerala,Disease_X_NRP2026,0,0,0,200,0.0,0,0,67.88,29.2,77.5,316,probable,0.87,4,6
2026-03-05,Kerala,Disease_X_NRP2026,0,0,0,200,0.0,0,0,65.49,29.0,76.3,316,probable,0.87,4,6
2026-03-06,Kerala,Disease_X_NRP2026,1,0,0,184,0.0054,0,0,63.4,28.4,79.5,316,confirmed,0.87,4,6
2026-03-07,Kerala,Disease_X_NRP2026,0,0,0,212,0.0,0,0,68.34,28.7,75.5,316,probable,0.87,4,6
2026-03-08,Kerala,Disease_X_NRP2026,0,0,0,221,0.0,0,0,67.28,29.3,78.1,316,probable,0.87,4,6
2026-03-09,Kerala,Disease_X_NRP2026,0,0,0,200,0.0,0,0,67.01,28.9,79.0,316,probable,0.87,4,6
2026-03-10,Kerala,Disease_X_NRP2026,0,0,0,194,0.0,0,0,66.84,29.6,80.0,316,probable,0.87,4,6
2026-03-11,Kerala,Disease_X_NRP2026,0,0,0,165,0.0,0,0,66.24,28.1,78.2,316,probable,0.87,4,6
2026-03-12,Kerala,Disease_X_NRP2026,0,0,0,186,0.0,0,0,66.72,27.8,77.3,316,probable,0.87,4,6
2026-03-13,Kerala,Disease_X_NRP2026,0,0,0,227,0.0,0,0,66.94,28.5,76.7,316,probable,0.87,4,6
2026-03-14,Kerala,Disease_X_NRP2026,0,0,0,185,0.0,0,0,65.53,29.3,76.7,316,probable,0.87,4,6
2026-03-15,Kerala,Disease_X_NRP2026,0,0,0,194,0.0,0,0,65.22,28.9,79.7,316,probable,0.87,4,6
2026-03-16,Kerala,Disease_X_NRP2026,2,0,0,242,0.0083,0,0,67.19,29.3,80.5,316,confirmed,0.87,4,6
2026-03-17,Kerala,Disease_X_NRP2026,0,0,0,196,0.0,0,0,68.51,29.5,76.6,316,probable,0.87,4,6
2026-03-18,Kerala,Disease_X_NRP2026,0,0,0,232,0.0,0,0,63.55,27.5,77.8,316,probable,0.87,4,6
2026-03-19,Kerala,Disease_X_NRP2026,0,0,0,208,0.0,0,0,67.06,29.7,75.1,316,probable,0.87,4,6
2026-03-20,Kerala,Disease_X_NRP2026,1,0,0,202,0.005,0,0,66.66,28.3,78.1,316,confirmed,0.87,4,6
2026-03-21,Kerala,Disease_X_NRP2026,0,0,0,208,0.0,0,0,65.54,30.2,74.1,316,probable,0.87,4,6
2026-03-22,Kerala,Disease_X_NRP2026,0,0,0,189,0.0,0,0,66.97,28.1,78.4,316,probable,0.87,4,6
2026-03-23,Kerala,Disease_X_NRP2026,1,0,0,188,0.0053,0,0,66.99,29.2,78.6,316,confirmed,0.87,4,6
2026-03-24,Kerala,Disease_X_NRP2026,1,0,0,210,0.0048,0,0,65.37,27.1,75.6,316,confirmed,0.87,4,6
